sentence,name,slug,house_name
Winter is coming!,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
Gingers are beautiful. We've been kissed by fire.,Tormund,tormund,
All I ever wanted was to fight for a lord I believed in. But the good lords are dead and the rest are monsters.,Brienne of Tarth,brienne,House Tarth of Evenfall Hall
"All this horror that has come to my family, it's all because I couldn't love a motherless child.",Catelyn Stark,catelyn,House Stark of Winterfell
A Lannister always pays his debts.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
Everyone is mine to torment.,Joffrey Baratheon,joffrey,House Baratheon of Dragonstone
Fighting bravely for a losing cause is admirable. Fighting for a winning cause is far more rewarding.,Jaime Lannister,jaime,House Lannister of Casterly Rock
Fear cuts deeper than swords.,Arya Stark,arya,House Stark of Winterfell
"When you tear out a man's tongue, you are not proving him a liar, you're only telling the world that you fear what he might say",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
Everyone is mine to torment.,Joffrey Baratheon,joffrey,House Baratheon of Dragonstone
Tears aren't a woman's only weapon. The best one's between your legs.,Cersei Lannister,cersei,House Lannister of Casterly Rock
"If you want a whore, buy one. If you want a Queen, earn her.",Cersei Lannister,cersei,House Lannister of Casterly Rock
"I was nothing at all. And when you're nothing at all, there's no reason to be afraid.",Samwell Tarly,samwell,House Tarly of Horn Hill
All I ever wanted was to fight for a lord I believed in. But the good lords are dead and the rest are monsters.,Brienne of Tarth,brienne,House Tarth of Evenfall Hall
I am your son. I have always been your son.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
A Lannister always pays his debts.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
You love your children. It's your one redeeming quality. That and your cheekbones.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"The world is overflowing with horrible things, but they’re all a tray of cakes next to death.",Olenna Tyrell,olenna,House Tyrell of Highgarden
"The storms come and go, the big fish eat the little fish and I keep on paddling.",Lord Varys,varys,
"I need you to become the man you were always meant to be. Not next year, not tomorrow, now.",Tywin Lannister,tywin,House Lannister of Casterly Rock
"If you think this has a happy ending, you haven't been paying attention.",Ramsay Bolton,ramsay,House Bolton of the Dreadfort
There are no men like me. Only me.,Jaime Lannister,jaime,House Lannister of Casterly Rock
A madman sees what he sees.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
The fall breaks them. And some are given a chance to climb; they cling to the real or the gods or love.,Petyr Baelish,baelish,House Baelish of Harrenhal
Tears aren't a woman's only weapon. The best one's between your legs.,Cersei Lannister,cersei,House Lannister of Casterly Rock
A ruler who hides behind paid executioners soon forgets what death is.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"I have a tender spot in my heart for cripples, bastards and broken things.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
The fall breaks them. And some are given a chance to climb; they cling to the real or the gods or love.,Petyr Baelish,baelish,House Baelish of Harrenhal
"It doesn't matter what we want. Once we get it, then we want something else.",Petyr Baelish,baelish,House Baelish of Harrenhal
"Every day that he remains a prisoner, the less our name commands respect.",Tywin Lannister,tywin,House Lannister of Casterly Rock
There are no men like me. Only me.,Jaime Lannister,jaime,House Lannister of Casterly Rock
By what right does the wolf judge the lion?,Jaime Lannister,jaime,House Lannister of Casterly Rock
"The world is overflowing with horrible things, but they’re all a tray of cakes next to death.",Olenna Tyrell,olenna,House Tyrell of Highgarden
"It doesn’t matter what we want. Once we get it, then we want something else.",Petyr Baelish,baelish,House Baelish of Harrenhal
Chaos isn't a pit. Chaos is a ladder.,Petyr Baelish,baelish,House Baelish of Harrenhal
The only way to keep your people loyal is to make certain they fear you more than they do the enemy.,Cersei Lannister,cersei,House Lannister of Casterly Rock
The man who passes the sentence should swing the sword.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"Every man must die, Jon Snow. but first, he must live",Ygritte,ygritte,
"Every day that he remains a prisoner, the less our name commands respect.",Tywin Lannister,tywin,House Lannister of Casterly Rock
"Death is so terribly final, while life is full of possibilities.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"I'm a constant disappointment to my own father, and I have learned to live with it.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"I'm a constant disappointment to my own father, and I have learned to live with it.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
The freedom to make my own mistakes was all I ever wanted.,Mance Rayder,mance,
I don't care about checking my worst impulses. I don't care about making the world a better place. Hang the world.,Cersei Lannister,cersei,House Lannister of Casterly Rock
I hate the king more than any of them.,Sansa Stark,sansa,House Stark of Winterfell
"Why is it that when one man builds a wall, the next man immediately needs to know what's on the other side?",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"It doesn’t matter what we want. Once we get it, then we want something else.",Petyr Baelish,baelish,House Baelish of Harrenhal
"I, Eddard of the house Stark, lord of Winterfell and warden of the North, sentence you to die.","Eddard ""Ned"" Stark",ned,House Stark of Winterfell
A man with no motive is a man no one suspects. Always keep your foes confused.,Petyr Baelish,baelish,House Baelish of Harrenhal
"When you play the game of thrones, you win or you die. There is no middle ground.",Cersei Lannister,cersei,House Lannister of Casterly Rock
"When you tear out a man's tongue, you are not proving him a liar, you're only telling the world that you fear what he might say",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
